,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
910,The Dictator,179379533,59650222,33.2%,119729311,66.8%,2012,tt1645170,No Collection,65000000,'Comedy',en,17.206,2012-05-15,83.0,JD Productions
911,The League of Extraordinary Gentlemen,179265204,66465204,37.1%,112800000,62.9%,2003,tt0311429,No Collection,78000000,'Fantasy',en,18.601,2003-07-11,110.0,Mandeville Films
912,Allegiant,179246868,66184051,36.9%,113062817,63.1%,2016,tt3410834,283579,110000000,'Adventure',en,23.073,2016-03-09,121.0,Marvel Enterprises
913,Daredevil,179179718,102543518,57.2%,76636200,42.8%,2003,tt0287978,No Collection,78000000,'Fantasy',en,21.233,2003-02-14,103.0,New Line
914,City Slickers,179033791,124033791,69.3%,55000000,30.7%,1991,tt0101587,150156,27000000,'Comedy',en,8.832,1991-06-07,112.0,New Line
915,He's Just Not That Into You,178866158,93953653,52.5%,84912505,47.5%,2009,tt1001508,No Collection,40000000,'Comedy',en,14.034,2009-02-06,129.0,Goldcrest Pictures
916,Eagle Eye,178767383,101440743,56.7%,77326640,43.3%,2008,tt1059786,No Collection,10000000,'Mystery',en,21.561999999999998,2008-09-25,118.0,Jersey Films
917,Along Came Polly,178311729,88097164,49.4%,90214565,50.6%,2004,tt0343135,No Collection,42000000,'Comedy',en,13.713,2004-01-16,90.0,DreamWorks Animation
918,Flushed Away,178281554,64665672,36.3%,113615882,63.7%,2006,tt0424095,No Collection,149000000,'Adventure',en,14.79,2006-10-22,85.0,Dimension Films
919,Scary Movie 4,178262620,90710620,50.9%,87552000,49.1%,2006,tt0362120,4246,45000000,'Comedy',en,15.248,2006-04-12,83.0,Pacific Western
920,Dante's Peak,178127760,67127760,37.7%,111000000,62.3%,1997,tt0118928,No Collection,116000000,'Action',en,12.572000000000001,1997-02-07,108.0,Good Machine
921,Brokeback Mountain,178062759,83043761,46.6%,95018998,53.4%,2005,tt0388795,No Collection,14000000,'Drama',en,17.182000000000002,2005-09-10,134.0,Paramount
922,Patriot Games,178051587,83351587,46.8%,94700000,53.2%,1992,tt0105112,192492,45000000,'Drama',en,10.931,1992-06-04,117.0,Walt Disney
923,Flubber,177977226,92977226,52.2%,85000000,47.8%,1997,tt0119137,No Collection,80000000,'Comedy',en,14.282,1997-11-26,93.0,Uncharted
924,Baywatch,177856751,58060186,32.6%,119796565,67.4%,2017,tt1469304,No Collection,69000000,'Action',en,24.096999999999998,2017-05-12,116.0,Paramount
925,Double Jeopardy,177841558,116741558,65.6%,61100000,34.4%,1999,tt0150377,No Collection,70000000,'Thriller',en,12.107000000000001,1999-09-24,105.0,Touchstone
926,War Horse,177584879,79884879,45%,97700000,55%,2011,tt1568911,No Collection,66000000,'Drama',en,11.704,2011-12-25,146.0,Paramount
927,Paranormal Activity 2,177512032,84752907,47.7%,92759125,52.3%,2010,tt1536044,41437,3000000,'Horror',en,11.519,2010-10-20,91.0,Paramount
928,How to Lose a Guy in 10 Days,177502387,105813373,59.6%,71689014,40.4%,2003,tt0251127,No Collection,50000000,'Comedy',en,12.089,2003-02-07,116.0,Revolution Sun
929,Alien vs. Predator,177427090,80282231,45.2%,97144859,54.8%,2004,tt0370263,115762,70000000,'Adventure',en,19.208,2004-08-12,101.0,Beijing New
930,Hero,177395557,53710019,30.3%,123685538,69.7%,2002,tt0299977,No Collection,31000000,'Drama',zh,16.873,2002-07-22,99.0,Universal Pictures
931,The 40-Year-Old Virgin,177378645,109449237,61.7%,67929408,38.3%,2005,tt0405422,No Collection,26000000,'Comedy',en,15.062999999999999,2005-08-11,116.0,Follow Through
932,Lee Daniels' The Butler,177313795,116632095,65.8%,60681700,34.2%,2013,tt1327773,No Collection,25000000,'Drama',en,14.977,2013-08-16,132.0,DreamWorks Pictures
933,The Haunting,177311151,91411151,51.6%,85900000,48.4%,1999,tt0171363,No Collection,80000000,'Horror',en,11.120999999999999,1999-07-23,113.0,Dune Entertainment
934,The Descendants,177243185,82584160,46.6%,94659025,53.4%,2011,tt1033575,No Collection,20000000,'Comedy',en,12.932,2011-09-09,115.0,Phoenix Film
935,The A-Team,177238796,77222099,43.6%,100016697,56.4%,2010,tt0429493,No Collection,110000000,'Thriller',en,18.771,2010-06-09,119.0,Mirage Enterprises
936,Tootsie,177200000,177200000,100%,0,-,1982,tt0084805,No Collection,21000000,'Comedy',en,9.917,1982-06-10,116.0,Castle Rock
937,In the Line of Fire,176997168,102314823,57.8%,74682345,42.2%,1993,tt0107206,No Collection,40000000,'Action',en,12.713,1993-07-08,128.0,Spring Creek
938,Analyze This,176885658,106885658,60.4%,70000000,39.6%,1999,tt0122933,110127,80000000,'Comedy',en,10.144,1999-03-05,103.0,Ram Bergman
939,Looper,176506819,66486205,37.7%,110020614,62.3%,2012,tt1276104,No Collection,30000000,'Action',en,20.102,2012-09-26,118.0,Joseph M.
940,Dr. Dolittle 2,176104344,112952899,64.1%,63151445,35.9%,2001,tt0240462,3169,70000000,'Comedy',en,10.818,2001-06-22,87.0,De Line
941,The Italian Job,176070171,106128601,60.3%,69941570,39.7%,2003,tt0317740,No Collection,60000000,'Action',en,16.464000000000002,2003-05-30,110.0,Two Ton
942,The Bucket List,175372502,93466502,53.3%,81906000,46.7%,2007,tt0825232,No Collection,45000000,'Drama',en,13.28,2007-12-25,97.0,20th Century
943,Sleeping with the Enemy,174999005,101599005,58.1%,73400000,41.9%,1991,tt0102945,No Collection,19000000,'Drama',en,9.621,1991-01-13,99.0,Universal Pictures
944,Cowboys & Aliens,174822325,100240551,57.3%,74581774,42.7%,2011,tt0409847,No Collection,163000000,'Action',en,18.912,2011-07-29,119.0,Imperative Entertainment
945,The Mule,174804407,103804407,59.4%,71000000,40.6%,2018,tt7959026,No Collection,50000000,'Crime',en,17.692999999999998,2018-12-14,117.0,Mandeville Films
946,George of the Jungle,174463257,105263257,60.3%,69200000,39.7%,1997,tt0119190,126221,55000000,'Adventure',en,15.34,1997-07-15,92.0,Playtone
947,Evan Almighty,174440724,100462298,57.6%,73978426,42.4%,2007,tt0413099,124949,175000000,'Fantasy',en,19.245,2007-06-09,96.0,Stuber Productions
948,Identity Thief,173965010,134506920,77.3%,39458090,22.7%,2013,tt2024432,No Collection,35000000,'Comedy',en,12.86,2013-02-07,111.0,Walt Disney
949,The Nutcracker and the Four Realms,173961069,54858851,31.5%,119102218,68.5%,2018,tt5523010,No Collection,120000000,'Fantasy',en,17.160999999999998,2018-10-26,99.0,Regency Enterprises
950,Big Momma's House,173959438,117559438,67.6%,56400000,32.4%,2000,tt0208003,44979,30000000,'Crime',en,12.18,2000-05-31,98.0,Strike Entertainment
951,In Time,173930596,37520095,21.6%,136410501,78.4%,2011,tt1637688,No Collection,40000000,'Action',en,17.203,2011-10-27,109.0,France 3
952,Amélie,173924742,33225499,19.1%,140699243,80.9%,2001,tt0211915,No Collection,10000000,'Comedy',fr,24.909000000000002,2001-04-25,122.0,Film Fireworks
953,Operation Mekong,173839072,800012,0.5%,173039060,99.5%,2016,tt6044910,No Collection,30200000,'Action',zh,5.909,2016-09-30,124.0,Gary Sanchez
954,Anchorman 2: The Legend Continues,173649931,127352707,73.3%,46297224,26.7%,2013,tt1229340,93791,50000000,'Comedy',en,14.782,2013-12-18,119.0,New Line
955,Creed,173567581,109767581,63.2%,63800000,36.8%,2015,tt3076658,553717,37000000,'Drama',en,14.943,2015-11-25,133.0,Skydance Media
956,Gemini Man,173469516,48546770,28%,124922746,72%,2019,tt1025100,No Collection,138000000,'Action',en,30.338,2019-10-02,117.0,Reliance Entertainment
957,The Girl on the Train,173185859,75395035,43.5%,97790824,56.5%,2016,tt3631112,No Collection,45000000,'Crime',en,15.623,2016-10-05,112.0,Woods Entertainment
958,Scream,173046663,103046663,59.6%,70000000,40.4%,1996,tt0117571,2602,14000000,'Crime',en,20.671999999999997,1996-12-20,112.0,Miramax
959,Cold Mountain,173013509,95636509,55.3%,77377000,44.7%,2003,tt0159365,No Collection,79000000,'Adventure',en,11.315999999999999,2003-12-24,154.0,Jerry Bruckheimer
960,Black Hawk Down,172989651,108638745,62.8%,64350906,37.2%,2001,tt0265086,No Collection,92000000,'Action',en,25.76,2001-12-28,145.0,Fox Searchlight
961,The Grand Budapest Hotel,172936941,59301324,34.3%,113635617,65.7%,2014,tt2278388,No Collection,30000000,'Comedy',en,22.934,2014-02-26,100.0,Boxing Cat
962,The Santa Clause 2,172855065,139236327,80.6%,33618738,19.4%,2002,tt0304669,53159,65000000,'Fantasy',en,12.86,2002-10-31,104.0,Paramount
963,Cloverfield,172394180,80048433,46.4%,92345747,53.6%,2008,tt1060277,No Collection,25000000,'Action',en,22.246,2008-01-15,85.0,Miramax
964,Scream 2,172363301,101363301,58.8%,71000000,41.2%,1997,tt0120082,2602,24000000,'Horror',en,13.186,1997-12-09,120.0,Stuber Productions
965,Couples Retreat,171844840,109204945,63.6%,62639895,36.4%,2009,tt1078940,No Collection,70000000,'Comedy',en,11.885,2009-09-19,113.0,DreamWorks Animation
966,Antz,171757863,90757863,52.8%,81000000,47.2%,1998,tt0120587,No Collection,60000000,'Adventure',en,14.713,1998-10-02,83.0,Liberty Pictures
967,Blood Diamond,171720398,57377916,33.4%,114342482,66.6%,2006,tt0450259,No Collection,100000000,'Drama',en,20.426,2006-01-26,143.0,MTV Films
968,Jackass 3D,171685792,117229692,68.3%,54456100,31.7%,2010,tt1116184,17178,20000000,'Comedy',en,14.433,2010-10-15,94.0,Paramount Vantage
969,No Country for Old Men,171627166,74283625,43.3%,97343541,56.7%,2007,tt0477348,No Collection,25000000,'Crime',en,22.248,2007-11-08,122.0,Thunder Road
970,Spies in Disguise,171616764,66757013,38.9%,104859751,61.1%,2019,tt5814534,No Collection,111000000,'Animation',en,40.981,2019-12-04,102.0,Interscope Communications
971,John Wick: Chapter 2,171539887,92029184,53.6%,79510703,46.4%,2017,tt4425200,404609,40000000,'Thriller',en,28.701999999999998,2017-02-08,122.0,Happy Madison
972,Cocktail,171504781,78222753,45.6%,93282028,54.4%,1988,tt0094889,No Collection,20000000,'Drama',en,10.716,1988-07-29,104.0,South Side
973,Mr. Deeds,171269535,126293452,73.7%,44976083,26.3%,2002,tt0280590,No Collection,50000000,'Comedy',en,10.485,2002-06-28,96.0,Columbia Pictures
974,Contact,171120329,100920329,59%,70200000,41%,1997,tt0118884,No Collection,90000000,'Drama',en,18.208,1997-07-11,150.0,Chernin Entertainment
975,Superbad,170812526,121463226,71.1%,49349300,28.9%,2007,tt0829482,No Collection,20000000,'Comedy',en,17.823,2007-08-17,113.0,Columbia Pictures
976,The Other Guys,170458922,119219978,69.9%,51238944,30.1%,2010,tt1386588,No Collection,100000000,'Action',en,13.889000000000001,2010-08-06,107.0,Jerry Weintraub
977,The Specialist,170362582,57362582,33.7%,113000000,66.3%,1994,tt0111255,No Collection,45000000,'Action',en,14.286,1994-10-07,110.0,Nu Image
978,Olympus Has Fallen,170270201,98925640,58.1%,71344561,41.9%,2013,tt2302755,386534,70000000,'Action',en,21.011,2013-03-20,120.0,Dimension Films
979,Starsky & Hutch,170268750,88237754,51.8%,82030996,48.2%,2004,tt0335438,No Collection,60000000,'Comedy',en,14.909,2004-03-05,101.0,Miramax
980,Shall We Dance,170128460,57890460,34%,112238000,66%,2004,tt0358135,No Collection,50000000,'Drama',en,12.366,2004-10-15,107.0,Columbia Pictures
981,Stuart Little 2,169956806,64956806,38.2%,105000000,61.8%,2002,tt0243585,99727,120000000,'Family',en,15.724,2002-07-19,78.0,Happy Madison
982,Zookeeper,169852759,80360843,47.3%,89491916,52.7%,2011,tt1222817,No Collection,80000000,'Comedy',en,12.015999999999998,2011-07-06,102.0,New Line
983,Dumb and Dumber To,169837010,86208010,50.8%,83629000,49.2%,2014,tt2096672,96665,40000000,'Comedy',en,22.281999999999996,2014-11-12,110.0,Weying Galaxy
984,Ghost in the Shell,169801921,40563557,23.9%,129238364,76.1%,2017,tt1219827,No Collection,110000000,'Action',en,27.551,2017-03-29,107.0,Escape Artists
985,Seven Pounds,169748929,69951824,41.2%,99797105,58.8%,2008,tt0814314,No Collection,55000000,'Drama',en,16.083,2008-12-18,123.0,Walt Disney
986,Meet the Robinsons,169333034,97822171,57.8%,71510863,42.2%,2007,tt0396555,No Collection,150000000,'Animation',en,14.876,2007-03-23,95.0,Walt Disney
987,The Emperor's New Groove,169327687,89302687,52.7%,80025000,47.3%,2000,tt0120917,178117,100000000,'Adventure',en,21.979,2000-12-09,78.0,Universal Pictures
988,12 Monkeys,168839459,57141459,33.8%,111698000,66.2%,1995,tt0114746,No Collection,29500000,'Science,en,26.666,1995-12-29,129.0,Mediastream Vierte
989,Dodgeball,168423227,114326736,67.9%,54096491,32.1%,2004,tt0364725,No Collection,20000000,'Comedy',en,15.43,2004-06-18,92.0,Universal Pictures
990,Hellboy II: The Golden Army,168319243,75986503,45.1%,92332740,54.9%,2008,tt0411477,17235,85000000,'Fantasy',en,18.169,2008-07-11,120.0,Stage 6
991,Insidious: The Last Key,167885588,67745330,40.4%,100140258,59.6%,2018,tt5726086,228446,10000000,'Mystery',en,17.396,2018-01-03,118.0,Moving Picture
992,Fantastic Four,167882881,56117548,33.4%,111765333,66.6%,2015,tt1502712,No Collection,120000000,'Action',en,21.487,2015-08-05,100.0,Prospect Park
993,Unstoppable,167805466,81562942,48.6%,86242524,51.4%,2010,tt0477080,No Collection,100000000,'Action',en,18.152,2010-11-04,98.0,Touchstone Pictures
994,Three Men and a Baby,167780960,167780960,100%,0,-,1987,tt0094137,107688,11000000,'Family',en,10.087,1987-11-27,102.0,Iron Horse
995,Magic Mike,167739368,113721571,67.8%,54017797,32.2%,2012,tt1915581,328247,7000000,'Drama',en,11.870999999999999,2012-06-28,110.0,WR Universal
996,Alexander,167298192,34297191,20.5%,133001001,79.5%,2004,tt0346491,No Collection,155000000,'War',en,21.08,2004-11-21,175.0,Right of
997,Up in the Air,166842739,83823381,50.2%,83019358,49.8%,2009,tt1193138,No Collection,25000000,'Drama',en,14.904000000000002,2009-09-05,110.0,Universal Pictures
998,Nutty Professor II: The Klumps,166339890,123309890,74.1%,43030000,25.9%,2000,tt0144528,86028,84000000,'Fantasy',en,12.95,2000-07-27,106.0,Propaganda Films
999,Sleepers,165615285,53315285,32.2%,112300000,67.8%,1996,tt0117665,No Collection,44000000,'Crime',en,24.682,1996-10-18,147.0,Propaganda Films
