,Title,Worldwide_Lifetime_Gross,Domestic_Lifetime_Gross,Domestic_Percentage,Foreign_Lifetime_Gross,Foreign_Lifetime_Percentage,Year,IMDB_ID,Belongs_To_Collection,Budget,Genres,Original_Language,Popularity,Release_date,Runtime,Production_Company
783,The Holiday,205841885,63224849,30.7%,142617036,69.3%,2006,tt0457939,No Collection,85000000,'Comedy',en,17.512999999999998,2006-12-08,136.0,Amblin Entertainment
784,London Has Fallen,205754447,62524260,30.4%,143230187,69.6%,2016,tt3300542,386534,60000000,'Action',en,16.278,2016-03-02,99.0,Universal Pictures
785,A Dog's Purpose,205736628,64508620,31.4%,141228008,68.6%,2017,tt1753383,591028,22000000,'Comedy',en,15.637,2017-01-19,100.0,China Film
786,The Break-Up,205668210,118703275,57.7%,86964935,42.3%,2006,tt0452594,No Collection,52000000,'Romance',en,12.338,2006-06-01,106.0,Ixtlan Productions
787,Journey to the West,205637183,18058,<0.1%,205619125,100%,2013,tt2017561,456576,0,'Action',zh,12.088,2013-02-01,110.0,Iron Horse
788,JFK,205405498,70405498,34.3%,135000000,65.7%,1991,tt0102138,No Collection,40000000,'Drama',en,13.073,1991-12-20,189.0,JC 23
789,White House Down,205366737,73103784,35.6%,132262953,64.4%,2013,tt2334879,No Collection,150000000,'Action',en,16.814,2013-06-27,131.0,Red Om
790,Fun with Dick and Jane,204681899,110332737,53.9%,94349162,46.1%,2005,tt0369441,No Collection,100000000,'Comedy',en,11.370999999999999,2005-12-21,90.0,Relativity Media
791,Eat Pray Love,204594016,80574010,39.4%,124020006,60.6%,2010,tt0879870,No Collection,60000000,'Drama',en,9.237,2010-08-12,133.0,Jerry Bruckheimer
792,You Don't Mess with the Zohan,204313400,100018837,49%,104294563,51%,2008,tt0960144,No Collection,90000000,'Comedy',en,17.730999999999998,2008-06-05,113.0,Offspring Entertainment
793,King Arthur,203567857,51882244,25.5%,151685613,74.5%,2004,tt0349683,No Collection,120000000,'Adventure',en,17.132,2004-07-07,126.0,Sunswept Entertainment
794,Hairspray,203552922,118871849,58.4%,84681073,41.6%,2007,tt0427327,No Collection,50000000,'Comedy',en,19.201,2007-07-13,117.0,Cross Creek
795,Yogi Bear,203518375,100246011,49.3%,103272364,50.7%,2010,tt1302067,No Collection,80000000,'Comedy',en,17.45,2010-12-17,80.0,Paramount
796,Everest,203427584,43482270,21.4%,159945314,78.6%,2015,tt2719848,No Collection,55000000,'Adventure',en,23.233,2015-09-10,121.0,21 Laps
797,Vanilla Sky,203388341,100618344,49.5%,102769997,50.5%,2001,tt0259711,No Collection,68000000,'Romance',en,17.007,2001-01-22,136.0,Revolution Sun
798,Arrival,203388186,100546139,49.4%,102842047,50.6%,2016,tt2543164,No Collection,47000000,'Drama',en,30.168000000000003,2016-11-10,116.0,Studio Ghibli
799,Need for Speed,203277636,43577636,21.4%,159700000,78.6%,2014,tt2369135,No Collection,66000000,'Action',en,15.931,2014-03-13,130.0,Davis Entertainment
800,Ponyo,203204882,15743471,7.8%,187461411,92.2%,2008,tt0876563,No Collection,41677699,'Animation',ja,27.487,2008-07-19,100.0,Sony Pictures
801,Garfield,203172417,75369589,37.1%,127802828,62.9%,2004,tt0356634,86115,50000000,'Animation',en,13.465,2004-06-10,80.0,Cinesite Animation
802,The Addams Family,203044905,100044905,49.3%,103000000,50.7%,2019,tt1620981,No Collection,40000000,'Animation',en,17.525,2019-10-10,86.0,Universal Pictures
803,Patch Adams,202292902,135026902,66.8%,67266000,33.2%,1998,tt0129290,No Collection,50000000,'Comedy',en,11.782,1998-12-25,115.0,New Line
804,Teenage Mutant Ninja Turtles,201965915,135265915,67%,66700000,33%,1990,tt0100758,1582,13500000,'Science,en,12.648,1990-03-30,93.0,Universal Pictures
805,Kindergarten Cop,201957688,91457688,45.3%,110500000,54.7%,1990,tt0099938,397444,15000000,'Comedy',en,7.446000000000001,1990-12-21,111.0,Broken Chair
806,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,201858461,84158461,41.7%,117700000,58.3%,2020,tt7713068,No Collection,75000000,'Action',en,108.24600000000001,2020-02-05,109.0,Stephen J.
807,Straight Outta Compton,201634991,161197785,80%,40437206,20%,2015,tt1398426,No Collection,28000000,'Drama',en,19.335,2015-08-13,147.0,United Artists
808,21 Jump Street,201585328,138447667,68.7%,63137661,31.3%,2012,tt1232829,212562,42000000,'Action',en,18.239,2012-03-14,109.0,Sony Pictures
809,Valkyrie,201545517,83077833,41.2%,118467684,58.8%,2008,tt0985699,No Collection,75000000,'Drama',en,17.659000000000002,2008-12-25,121.0,Village Roadshow
810,Open Season,200811689,85105259,42.4%,115706430,57.6%,2006,tt0400717,66761,85000000,'Animation',en,14.53,2006-09-29,83.0,Paramount
811,Cats & Dogs,200687492,93385515,46.5%,107301977,53.5%,2001,tt0239395,697304,60000000,'Comedy',en,11.752,2001-07-04,87.0,Fox 2000
812,The Hunt for Red October,200512643,122012643,60.8%,78500000,39.2%,1990,tt0099810,192492,30000000,'Action',en,15.731,1990-03-02,134.0,Fortis Films
813,Percy Jackson: Sea of Monsters,199850315,68559554,34.3%,131290761,65.7%,2013,tt1854564,179919,90000000,'Adventure',en,6.869,2013-08-07,106.0,Summit Entertainment
814,Two Weeks Notice,199043242,93354851,46.9%,105688391,53.1%,2002,tt0313737,No Collection,60000000,'Comedy',en,11.127,2002-12-19,101.0,Atlas Entertainment
815,RED,199006387,90380162,45.4%,108626225,54.6%,2010,tt1245526,163902,58000000,'Action',en,25.301,2010-10-13,111.0,Walt Disney
816,City of Angels,198685114,78685114,39.6%,120000000,60.4%,1998,tt0120632,No Collection,55000000,'Drama',en,12.606,1998-04-10,114.0,Happy Madison
817,The Pacifier,198636868,113086868,56.9%,85550000,43.1%,2005,tt0395699,No Collection,56000000,'Comedy',en,13.275,2005-03-04,95.0,Rekall Productions
818,50 First Dates,198520934,120908074,60.9%,77612860,39.1%,2004,tt0343660,No Collection,75000000,'Comedy',en,16.203,2004-02-13,99.0,Beijing Enlight
819,Total Recall,198467168,58877969,29.7%,139589199,70.3%,2012,tt1386703,No Collection,125000000,'Action',en,39.936,2012-08-02,121.0,Summit Entertainment
820,The Island,198326350,670883,0.3%,197655467,99.7%,2018,tt8755316,No Collection,0,'Comedy',zh,4.2589999999999995,2018-08-10,134.0,Enlight Pictures
821,The Impossible,198087212,19019882,9.6%,179067330,90.4%,2012,tt1649419,No Collection,45000000,'Thriller',en,13.977,2012-09-09,113.0,Walt Disney
822,Lost in Thailand,197757387,57387,<0.1%,197700000,100%,2012,tt2459022,680443,2200000,'Comedy',zh,3.404,2012-12-12,105.0,New Line
823,Christopher Robin,197744377,99215042,50.2%,98529335,49.8%,2018,tt4575576,No Collection,75000000,'Adventure',en,16.203,2018-08-02,104.0,Kerner Entertainment
824,Jack the Giant Slayer,197687603,65187603,33%,132500000,67%,2013,tt1351685,No Collection,195000000,'Action',en,14.152000000000001,2013-02-27,114.0,Dimension Films
825,Smurfs: The Lost Village,197183546,45020282,22.8%,152163264,77.2%,2017,tt2398241,134897,60000000,'Adventure',en,14.954,2017-03-23,89.0,Columbia Pictures
826,Spy Kids 3-D: Game Over,197101678,111761982,56.7%,85339696,43.3%,2003,tt0338459,86486,38000000,'Action',en,12.777000000000001,2003-07-25,84.0,LBI Productions
827,Panic Room,197079546,96397334,48.9%,100682212,51.1%,2002,tt0258000,No Collection,48000000,'Crime',en,18.707,2002-03-29,111.0,Centropolis Entertainment
828,The Other Woman,196710396,83911193,42.7%,112799203,57.3%,2014,tt2203939,No Collection,40000000,'Comedy',en,14.331,2014-04-16,109.0,Paramount
829,Stargate,196567262,71567262,36.4%,125000000,63.6%,1994,tt0111282,44215,55000000,'Action',en,12.508,1994-10-27,121.0,Spyglass Entertainment
830,Beowulf,196393745,82280579,41.9%,114113166,58.1%,2007,tt0442933,No Collection,70000000,'Adventure',en,16.308,2007-11-05,115.0,Columbia Pictures
831,The Vow,196114570,125014030,63.8%,71100540,36.2%,2012,tt1606389,No Collection,30000000,'Drama',en,15.17,2012-02-05,104.0,Goldcrest Pictures
832,Anger Management,195745823,135645823,69.3%,60100000,30.7%,2003,tt0305224,No Collection,75000000,'Comedy',en,15.448,2003-04-11,106.0,Double Dare
833,Tropic Thunder,195702811,110515313,56.5%,85187498,43.5%,2008,tt0942385,No Collection,92000000,'Action',en,20.32,2008-08-09,107.0,Warner Bros.
834,The Shape of Water,195333312,63859435,32.7%,131473877,67.3%,2017,tt5580390,No Collection,19500000,'Drama',en,29.603,2017-12-01,123.0,Walt Disney
835,The Pelican Brief,195268056,100768056,51.6%,94500000,48.4%,1993,tt0107798,No Collection,45000000,'Drama',en,11.32,1993-02-25,141.0,Rocket Pictures
836,The BFG,195243411,55483770,28.4%,139759641,71.6%,2016,tt3691740,No Collection,140000000,'Adventure',en,16.567,2016-06-01,120.0,Waverly Films
837,Rocketman,195179299,96368160,49.4%,98811139,50.6%,2019,tt2066051,No Collection,40000000,'Drama',en,23.686,2019-05-22,121.0,Focus Features
838,The Intern,194564672,75764672,38.9%,118800000,61.1%,2015,tt2361509,No Collection,35000000,'Comedy',en,15.255,2015-09-24,121.0,Aardman Animations
839,Wallace & Gromit: The Curse of the Were-Rabbit,194111171,56110897,28.9%,138000274,71.1%,2005,tt0312004,529,30000000,'Adventure',en,15.145,2005-09-04,85.0,Touchstone Pictures
840,Gnomeo & Juliet,193967670,99967670,51.5%,94000000,48.5%,2011,tt0377981,493668,36000000,'Animation',en,19.213,2011-01-13,84.0,Mel's Cite
